target,iteration,num_features,r2,rmse,mae,r2_drop,r2_drop_iteration,removed_features,audio_count,text_count,sentiment_count,embeddings_count
danceability,2,394,0.5918991978655388,0.11047029013454177,0.08733784254521994,0.00011141178801710172,-0.0003616709780143168,"['embedding_174', 'embedding_229', 'embedding_192', 'embedding_2', 'embedding_371', 'embedding_85', 'embedding_126', 'embedding_152', 'embedding_186', 'embedding_200']",23,5,2,364
danceability,3,384,0.5928218100299287,0.11034534685747067,0.08720858952879867,-0.0008112003763728337,-0.0009226121643899354,"['embedding_139', 'embedding_269', 'embedding_30', 'embedding_350', 'embedding_161', 'embedding_199', 'embedding_98', 'embedding_135', 'embedding_25', 'embedding_374']",23,5,2,354
danceability,4,374,0.5927779450859506,0.11035129040040138,0.087218750229005,-0.0007673354323947112,4.386494397812246e-05,"['embedding_33', 'embedding_257', 'embedding_322', 'embedding_129', 'embedding_294', 'embedding_193', 'embedding_47', 'embedding_22', 'embedding_190', 'embedding_365']",23,5,2,344
danceability,5,364,0.5923013972261918,0.11041584031188525,0.08732642867004922,-0.0002907875726358977,0.00047654785975881353,"['embedding_280', 'embedding_307', 'embedding_24', 'embedding_45', 'embedding_210', 'embedding_205', 'embedding_157', 'embedding_286', 'embedding_258', 'embedding_332']",23,5,2,334
danceability,6,354,0.5917227180572371,0.11049417353330376,0.0873248622014415,0.0002878915963188122,0.0005786791689547099,"['embedding_331', 'embedding_297', 'embedding_278', 'embedding_176', 'embedding_233', 'embedding_131', 'embedding_353', 'embedding_376', 'embedding_312', 'embedding_59']",23,5,2,324
danceability,7,344,0.5922534861218757,0.11042232793460131,0.08729911927498399,-0.00024287646831977483,-0.0005307680646385871,"['embedding_275', 'embedding_195', 'embedding_227', 'embedding_368', 'embedding_172', 'embedding_299', 'embedding_339', 'embedding_184', 'embedding_148', 'embedding_138']",23,5,2,314
danceability,8,334,0.5929976786126405,0.11032151407837834,0.08722333086547679,-0.0009870689590846249,-0.0007441924907648501,"['embedding_78', 'embedding_118', 'embedding_188', 'embedding_170', 'embedding_321', 'embedding_288', 'embedding_363', 'embedding_358', 'embedding_12', 'embedding_241']",23,5,2,304
danceability,9,324,0.5919831643288127,0.11045892495627897,0.08733745444499899,2.7445324743191613e-05,0.0010145142838278165,"['embedding_83', 'embedding_232', 'embedding_90', 'embedding_166', 'embedding_208', 'embedding_348', 'embedding_62', 'embedding_301', 'embedding_79', 'embedding_381']",23,5,2,294
danceability,10,314,0.592953372252842,0.1103275187267808,0.0872223065061526,-0.0009427625992860511,-0.0009702079240292427,"['embedding_187', 'embedding_367', 'embedding_219', 'embedding_23', 'embedding_262', 'embedding_362', 'embedding_274', 'embedding_7', 'embedding_46', 'embedding_310']",23,5,2,284
danceability,11,304,0.5929451851050997,0.11032862825956201,0.08725260878033768,-0.0009345754515438509,8.187147742200196e-06,"['embedding_64', 'embedding_383', 'embedding_203', 'embedding_382', 'embedding_17', 'embedding_133', 'embedding_318', 'embedding_336', 'embedding_287', 'embedding_125']",23,5,2,274
danceability,12,294,0.59302299864335,0.11031808241789001,0.08716104152810072,-0.0010123889897940552,-7.781353825020432e-05,"['embedding_217', 'embedding_99', 'embedding_242', 'embedding_372', 'embedding_50', 'embedding_228', 'embedding_34', 'embedding_168', 'embedding_94', 'embedding_313']",23,5,2,264
danceability,13,284,0.5930538501109381,0.11031390092945637,0.08721377177739131,-0.001043240457382244,-3.08514675881888e-05,"['key_cos', 'embedding_100', 'embedding_44', 'embedding_212', 'embedding_165', 'embedding_181', 'embedding_293', 'embedding_305', 'embedding_308', 'embedding_320']",22,5,2,255
danceability,14,274,0.5926311170556622,0.11037118274435544,0.08724893689596815,-0.0006205074021062851,0.00042273305527595895,"['embedding_369', 'embedding_377', 'embedding_73', 'embedding_249', 'embedding_116', 'embedding_147', 'embedding_114', 'embedding_215', 'embedding_18', 'embedding_267']",22,5,2,245
danceability,15,264,0.5942928366947364,0.11014584228845302,0.08701019312018565,-0.002282227041180529,-0.001661719639074244,"['embedding_379', 'embedding_51', 'embedding_35', 'embedding_86', 'embedding_373', 'embedding_84', 'embedding_330', 'embedding_290', 'embedding_255', 'embedding_13']",22,5,2,235
danceability,16,254,0.5935865051759174,0.11024168191682641,0.08709451553167229,-0.0015758955223614812,0.0007063315188190478,"['embedding_122', 'embedding_142', 'embedding_327', 'embedding_328', 'embedding_162', 'embedding_222', 'embedding_344', 'embedding_340', 'embedding_303', 'embedding_346']",22,5,2,225
danceability,17,244,0.5937620304461142,0.11021787329459198,0.08703926347203345,-0.0017514207925583003,-0.00017552527019681907,"['embedding_132', 'embedding_41', 'embedding_198', 'embedding_246', 'embedding_115', 'embedding_207', 'embedding_251', 'embedding_36', 'embedding_102', 'embedding_63']",22,5,2,215
danceability,18,234,0.5937003108144193,0.11022624566337064,0.08704822075653186,-0.0016897011608634216,6.171963169487871e-05,"['embedding_88', 'embedding_334', 'embedding_15', 'embedding_211', 'embedding_55', 'embedding_54', 'embedding_39', 'embedding_370', 'embedding_128', 'embedding_123']",22,5,2,205
danceability,19,224,0.5934651935562156,0.1102581338793346,0.08714976279998694,-0.001454583902659734,0.00023511725820368756,"['embedding_53', 'embedding_279', 'embedding_110', 'embedding_121', 'embedding_226', 'embedding_335', 'embedding_167', 'embedding_32', 'embedding_173', 'embedding_58']",22,5,2,195
danceability,20,214,0.594047244570518,0.1101791752700813,0.0870329258834547,-0.0020366349169621545,-0.0005820510143024205,"['embedding_345', 'embedding_105', 'embedding_196', 'embedding_9', 'embedding_158', 'embedding_201', 'embedding_68', 'embedding_151', 'embedding_179', 'embedding_40']",22,5,2,185
danceability,21,204,0.5944613640364995,0.11012296308422372,0.08697860343093704,-0.0024507543829436207,-0.0004141194659814662,"['embedding_171', 'embedding_245', 'embedding_206', 'embedding_72', 'embedding_265', 'embedding_26', 'embedding_65', 'embedding_74', 'embedding_338', 'embedding_76']",22,5,2,175
danceability,22,194,0.5949035952947224,0.11006290333161764,0.08692836590322522,-0.002892985641166468,-0.00044223125822284715,"['embedding_49', 'embedding_285', 'embedding_70', 'embedding_341', 'embedding_197', 'embedding_271', 'embedding_164', 'embedding_281', 'embedding_359', 'embedding_182']",22,5,2,165
danceability,23,184,0.5942652668971575,0.1101495847007923,0.08702709378609634,-0.002254657243601632,0.0006383283975648357,"['embedding_220', 'embedding_56', 'embedding_185', 'embedding_38', 'embedding_154', 'embedding_134', 'embedding_112', 'embedding_329', 'embedding_325', 'embedding_239']",22,5,2,155
