target,model,rmse,mae,r2
valence,LinearSVR_tuned,0.20882939326872385,0.17151100615326711,0.2954147168046184
valence,MLPRegressor,0.19135383265546832,0.153537386821201,0.4084047957069852
valence,MLPRegressor_tuned,0.19125816508177504,0.15250187342800503,0.4089961852734262
energy,Mean,0.24484574934510195,0.20592763299831668,-1.9408736839920948e-08
energy,LinearRegression,0.11259170187704426,0.08807913266827432,0.7885402870819853
energy,Ridge,0.11257751125629616,0.08806738690837826,0.7885935868445506
energy,Ridge_tuned,0.11257811451591092,0.08806839527560935,0.7885913211470478
energy,Lasso,0.24484574935295564,0.20592763948105683,-1.947288907899747e-08
energy,Lasso_tuned,0.24484574935295564,0.20592763948105683,-1.947288907899747e-08
energy,SGDRegressor,0.11284224578396376,0.08833012459506487,0.7875981414642883
energy,SGDRegressor_tuned,0.11342045236960477,0.088770458769803,0.7854158594850988
energy,DecisionTree,0.14470777972859583,0.10448696733509151,0.650699963489927
energy,DecisionTree_tuned,0.24484574935295564,0.20592763948105683,-1.947288907899747e-08
energy,RandomForest,0.09943334041072159,0.07433022539638454,0.8350778720074118
energy,RandomForest_tuned,0.12898332494346912,0.10499482186083574,0.7224878469836102
energy,ExtraTrees,0.09886791773748936,0.07313381204604655,0.8369481818525919
energy,ExtraTrees_tuned,0.1025110549970425,0.07779404990076509,0.8247103487519105
energy,AdaBoost,0.16012861909312026,0.1373745498646469,0.572286667991575
energy,AdaBoost_tuned,0.131249870382117,0.10431796459125137,0.7126490500952501
energy,XGBoost,0.0984450384689742,0.07403337210416794,0.8383399844169617
energy,XGBoost_tuned,0.09522449737908416,0.07160491496324539,0.8487440943717957
energy,CatBoost,0.09575784544544633,0.07212124457666007,0.847045026715918
energy,CatBoost_tuned,0.0955958472425157,0.07177140924959953,0.8475621116868276
energy,LightGBM,0.09824888537235597,0.07399014929130944,0.838983591711729
energy,LightGBM_tuned,0.09590255969305471,0.07225184497936298,0.8465823703272282
energy,KNeighbors,0.1347409446894771,0.10374993830919266,0.6971594095230103
energy,KNeighbors_tuned,0.12453728578958405,0.0961089773417819,0.7412897334604568
energy,LinearSVR,0.11335385998701555,0.0879157045893285,0.7856677624522994
energy,LinearSVR_tuned,0.11282257545809658,0.08895024515407811,0.7876721855351712
energy,MLPRegressor,0.10024881151186046,0.07595513719013865,0.8323616660707863
energy,MLPRegressor_tuned,0.10052768904641304,0.07591584054112764,0.8314276781027529
danceability,Mean,0.17113220393442538,0.1392965401201254,-0.00029042563476444627
danceability,LinearRegression,0.13072042747832266,0.10457132858011296,0.4163539591824392
danceability,Ridge,0.130748190940167,0.10459110283867541,0.41610601391987523
danceability,Ridge_tuned,0.13074877309973162,0.10459067905018442,0.416100814303375
danceability,Lasso,0.1711322041926589,0.13929654055659318,-0.0002904286535827527
danceability,Lasso_tuned,0.1711322041926589,0.13929654055659318,-0.0002904286535827527
danceability,SGDRegressor,0.13126906390497597,0.10497295242762505,0.4114445284612446
danceability,SGDRegressor_tuned,0.13207188707011105,0.10579096894175039,0.40422346902049255
danceability,DecisionTree,0.16068216176213887,0.12233567005108915,0.11814342581597193
danceability,DecisionTree_tuned,0.1711322041926589,0.13929654055659318,-0.0002904286535827527
danceability,RandomForest,0.11117372925550735,0.08691491875519483,0.5778498255250861
danceability,RandomForest_tuned,0.12652428149519357,0.10173599244616369,0.4532228154032938
danceability,ExtraTrees,0.11044321717106746,0.0852181216023968,0.583379416354715
danceability,ExtraTrees_tuned,0.11524025034405218,0.09157516766044144,0.5464021252170566
danceability,AdaBoost,0.1305610216985079,0.10627106564290528,0.4177765344875748
danceability,AdaBoost_tuned,0.13766858039759897,0.11134141236167125,0.3526602239813784
danceability,XGBoost,0.11105775208996388,0.08751856535673141,0.5787301063537598
danceability,XGBoost_tuned,0.106966257549962,0.08421698957681656,0.6091984510421753
danceability,CatBoost,0.10825083654220584,0.08540036533967857,0.599755707691077
danceability,CatBoost_tuned,0.10801238180056788,0.08514109807123242,0.6015170803449617
danceability,LightGBM,0.1121134945165707,0.08876771467404378,0.5706826855557947
danceability,LightGBM_tuned,0.10800528386680726,0.08510896065736237,0.601569450497129
danceability,KNeighbors,0.1328246026976086,0.10480304062366486,0.39741307497024536
danceability,KNeighbors_tuned,0.12363504212738871,0.09660563067974776,0.4779095042265066
danceability,LinearSVR,0.1318427889222486,0.10479405225446362,0.4062886006798856
danceability,LinearSVR_tuned,0.13080167769593828,0.10484824680860849,0.41562819494975833
danceability,MLPRegressor,0.11301500183593303,0.08905237087931661,0.5637506249215387
danceability,MLPRegressor_tuned,0.11284920108972464,0.08896659368231717,0.5650297013957997
popularity,Mean,1.4902484939247866,1.3342531593661628,-0.0006680679893200647
popularity,LinearRegression,1.452437564577191,1.2831504888391163,0.049466114995428856
popularity,Ridge,1.4524135810949934,1.2831878991976893,0.04949750625773952
popularity,Ridge_tuned,1.452434103034275,1.2831606222017589,0.049470645737397456
popularity,Lasso,1.4902484939624758,1.334253159117993,-0.0006680680399349104
popularity,Lasso_tuned,1.4902484939624758,1.334253159117993,-0.0006680680399349104
popularity,SGDRegressor,1.454609629001365,1.2824687420541012,0.0466210156032868
popularity,SGDRegressor_tuned,1.4534412060109012,1.287846989592673,0.048152014035672486
popularity,DecisionTree,2.032307680717015,1.5616276366981092,-0.8610222914400409
popularity,DecisionTree_tuned,1.484635198787235,1.325472028537852,0.006856135398370045
popularity,RandomForest,1.4691263256786058,1.276515551855361,0.027497021146363876
popularity,RandomForest_tuned,1.4559060702033664,1.2931478706645199,0.04492083354357257
popularity,ExtraTrees,1.49683742285325,1.2815586691862102,-0.00953626220109638
popularity,ExtraTrees_tuned,1.4399262547965517,1.271242544188725,0.0657713985543108
popularity,AdaBoost,1.461558437349869,1.3029457145828145,0.03749049497790202
popularity,AdaBoost_tuned,1.4618450518812929,1.3219273550507735,0.03711295788739066
popularity,XGBoost,1.4430480538692247,1.257085919380188,0.06171613931655884
popularity,XGBoost_tuned,1.4345525295123982,1.257108211517334,0.0727313756942749
popularity,CatBoost,1.4302594275610743,1.2502166478850587,0.07827302761967925
popularity,CatBoost_tuned,1.4303090104454688,1.2520913627279944,0.07820911938987285
popularity,LightGBM,1.4331024274234487,1.2596642659748045,0.07460505798298234
popularity,LightGBM_tuned,1.431278934032321,1.2544424030241903,0.07695852269539427
popularity,KNeighbors,1.5796488590212088,1.3229680061340332,-0.12432980537414551
popularity,KNeighbors_tuned,1.5159499279601432,1.2934049459446761,-0.03548156549996895
popularity,LinearSVR,1.5639946813683048,1.2265650848788217,-0.10215633653201417
popularity,LinearSVR_tuned,1.452086603183245,1.285755313029565,0.049925426156773534
popularity,MLPRegressor,1.4422868753649567,1.2556116860630477,0.06270573184814754
popularity,MLPRegressor_tuned,1.4459716727375638,1.2553475007713752,0.05791035947970202
